item,itemLabel,position,positionLabel,start,psid
Q102969894,Toeolesulusulu Cedric Schuster,Q109706695,Minister for Natural Resources and Environment,2021-10-20,Q102969894-1F2C8D06-AF6B-4489-888A-4262396EFC24
Q102969894,Toeolesulusulu Cedric Schuster,Q109706699,Minister for Tourism,2021-10-20,Q102969894-54136877-0614-4400-9384-A80636FFFEB8
Q103625196,Valasi Toogamaga Tafito,Q109706802,Minister of Health,2021-05-24,Q103625196-05976E07-4761-447E-A903-B1ED0C022FCE
Q106459092,Tuala Iosefo Ponifasio,Q109706109,Deputy Prime Minister of Samoa,2021-05-24,Q106459092-6E529FF4-306D-4FF6-8DE4-D66B96A709C1
Q106513242,Toelupe Poumulinuku Onesemo,Q109706841,Minister of Communications and Information Technology,2021-05-24,Q106513242-54336CBF-A3DB-426A-AC6B-D8E8EC53DD91
Q106967476,Mulipola Anarosa Ale Molioo,Q96393323,Minister of Finance,2021-05-24,Q106967476-144FCDA6-1ED8-4FDD-960C-B32C658DFE6C
Q106998722,Seuula Ioane,Q109706829,"Minister of Education, Sports and Culture",2021-05-24,Q106998722-4F8AF92A-3846-4F27-9055-ED24FD003E89
Q106998729,Matamua Vasati Pulufana,Q109706464,Minister of Justice and Courts Administration,2021-05-24,Q106998729-85C57BB6-F749-4F48-A602-3725C35E4F6C
Q107010422,Leota Laki Lamositele,Q109706873,"Minister of Women, Community, and Social Development",2021-05-24,Q107010422-7B98CCBB-A828-4443-A64E-F4A28B85627B
Q16731362,Lefau Harry Schuster,Q109706529,Minister of Police and Prisons,2021-05-24,Q16731362-2C229204-B8C0-48B5-8385-793B863FE162
Q16734600,Leuatea Polataivao,Q109706139,Minister of Agriculture of Samoa,2021-05-24,Q16734600-68A4C402-90C0-4826-857F-8EF71C591F44
Q5446290,Fiamē Naomi Mataʻafa,Q1277355,Prime Minister of Samoa,2021-05-24,Q5446290-2352ca97-4749-d096-a865-bd383d9c4456
Q97058993,Faumuina Asi Pauli Wayne Fong,Q109706396,"Minister of Commerce, Industry and Labour",2021-05-24,Q97058993-4F48062D-6192-484C-990C-B56B28B53515
Q97186497,Afoa Vaai,Q109706324,"Minister of Works, Transport and Infrastructure",2021-05-24,Q97186497-9D10C7F1-BC68-405F-8635-8E8D7FD71E62
